epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,94.3243,0.44374,0.79641,0.43284,0.86438,0.86579,0.93229,0.995,0.88784,0.86579,0.93229,0.995,0.72219,0.53815,1.46634,0.56338,0.87089,0.000439682,0.000439682,0.000439682
31,96.7612,0.45017,0.77743,0.45518,0.87364,0.86579,0.93229,0.995,0.88784,0.86579,0.93229,0.995,0.72219,0.53815,1.46634,0.56338,0.87089,0.000440203,0.000440203,0.000440203
32,99.8065,0.50035,1.00795,0.48444,0.86746,0.86734,0.9241,0.995,0.88623,0.86734,0.9241,0.995,0.73685,0.58744,1.60153,0.58407,0.90895,0.000439782,0.000439782,0.000439782
33,102.247,0.47245,0.78535,0.45861,0.87436,0.88048,0.92399,0.995,0.88618,0.88048,0.92399,0.995,0.73319,0.57803,1.81908,0.5587,0.91957,0.000438417,0.000438417,0.000438417
34,104.55,0.46286,0.81276,0.4578,0.87406,0.88048,0.92399,0.995,0.88618,0.88048,0.92399,0.995,0.73319,0.57803,1.81908,0.5587,0.91957,0.000436109,0.000436109,0.000436109
35,107.452,0.46098,0.74992,0.42837,0.8828,0.9181,0.90077,0.995,0.89226,0.9181,0.90077,0.995,0.77993,0.54473,1.70829,0.51117,0.90245,0.000432858,0.000432858,0.000432858
36,110.412,0.48815,0.80733,0.44913,0.87186,0.91781,0.93767,0.995,0.87742,0.91781,0.93767,0.995,0.75683,0.5585,1.82643,0.43692,0.91645,0.000428664,0.000428664,0.000428664
37,113.284,0.40659,0.76831,0.41595,0.847,0.91781,0.93767,0.995,0.87742,0.91781,0.93767,0.995,0.75683,0.5585,1.82643,0.43692,0.91645,0.000423527,0.000423527,0.000423527
38,115.799,0.43415,0.71352,0.38662,0.86065,0.92083,1,0.995,0.87838,0.92083,1,0.995,0.74,0.59911,1.95835,0.4342,0.93011,0.000417447,0.000417447,0.000417447
39,118.078,0.47103,0.86742,0.45218,0.86391,0.94395,1,0.995,0.8774,0.94395,1,0.995,0.7695,0.57732,1.55276,0.4379,0.89609,0.000410423,0.000410423,0.000410423
40,120.43,0.45566,0.74636,0.40167,0.88007,0.94395,1,0.995,0.8774,0.94395,1,0.995,0.7695,0.57732,1.55276,0.4379,0.89609,0.000402456,0.000402456,0.000402456
41,123.351,0.48843,0.75994,0.44871,0.86546,0.96118,1,0.995,0.92079,0.96118,1,0.995,0.76842,0.49064,1.28565,0.41322,0.8398,0.000393547,0.000393547,0.000393547
42,126.031,0.43113,0.74995,0.39368,0.8737,0.9801,1,0.995,0.92362,0.9801,1,0.995,0.79637,0.44324,1.17852,0.3694,0.82105,0.000383694,0.000383694,0.000383694
43,128.355,0.41879,0.74717,0.40584,0.87016,0.9801,1,0.995,0.92362,0.9801,1,0.995,0.79637,0.44324,1.17852,0.3694,0.82105,0.000372898,0.000372898,0.000372898
44,130.516,0.44985,0.76945,0.44097,0.88826,0.9856,1,0.995,0.92141,0.9856,1,0.995,0.82908,0.42655,1.06294,0.31825,0.81865,0.000361158,0.000361158,0.000361158
45,132.923,0.441,0.75081,0.38433,0.87162,0.9856,1,0.995,0.92141,0.9856,1,0.995,0.82908,0.42655,1.06294,0.31825,0.81865,0.000348476,0.000348476,0.000348476
46,136.307,0.44273,0.70594,0.38622,0.86837,0.98355,1,0.995,0.92693,0.98355,1,0.995,0.8205,0.44601,1.13946,0.33682,0.83154,0.00033485,0.00033485,0.00033485
47,138.911,0.44478,0.76317,0.41009,0.86748,0.98355,1,0.995,0.92693,0.98355,1,0.995,0.8205,0.44601,1.13946,0.33682,0.83154,0.000320282,0.000320282,0.000320282
